unityFrame,realtimeSeconds,sourceHostTicks,sentisArrivalHostTicks,ortObservedHostTicks,rowMode,selectedRowMode,workerQueueMs,ortInferenceMs,bridgeToDoneMs,sourceToOrtObservedMs,sourceToSentisArrivalMs,ortMinusSentisObservedMs,landmarkMaeRaw,landmarkMaeNormalized,landmarkMaxAbsRaw,sentisPresenceLogit,ortPresenceLogit,presenceLogitAbsDiff,sentisPresence,ortPresence,presenceAbsDiff,nativeCompleted,nativeFailures,nativeSkipped,nativeReadyReplacements
1144,36.417727001133784,373102938,374196049,373572711,1,1,0.0253,23.5606,23.6102,46.9773,109.3111,0,1.28388137E-05,6.686882E-08,0.000106811523,9.775692,9.775691,9.536743E-07,0.9999432,0.9999432,0,1012,0,0,0
1145,36.451734801133789,373417455,374536099,373890173,1,1,0.0159,29.552,29.5863,47.2718,111.8644,0,1.36675253E-05,7.118503E-08,9.15527344E-05,1.6472044,1.64721525,1.08480453E-05,0.838512838,0.8385143,1.49011612E-06,1013,0,0,0
1146,36.484151801133784,373770622,374860769,374193088,1,1,0.0236,25.5647,25.6086,42.2466,109.0147,0,1.55103371E-05,8.0783E-08,0.000122070313,2.78224468,2.7822454,7.15255737E-07,0.9417088,0.9417088,0,1014,0,0,0
1147,36.512440801133785,374072524,375142917,374530739,1,1,0.0204,26.1788,26.2262,45.8215,107.0393,0,1.55349535E-05,8.09112137E-08,0.000122070313,-5.204793,-5.20479774,4.76837158E-06,0.00546020968,0.005460183,2.65426934E-08,1015,0,0,0
1148,36.545413801133783,374391404,375473021,374857152,1,1,0.0214,25.9489,25.9881,46.5748,108.1617,0,1.82572712E-05,9.508995E-08,0.0001373291,-3.04578471,-3.04578447,2.38418579E-07,0.04539981,0.04539982,7.450581E-09,1016,0,0,0
1149,36.578030201133785,374716685,375799464,375138847,1,1,0.0132,21.8879,21.9202,42.2162,108.2779,0,1.94752847E-05,1.01433777E-07,0.000122070313,-4.855525,-4.855524,9.536743E-07,0.007725103,0.00772511028,7.450581E-09,1016,0,0,0
1150,36.608502201133788,375034837,376103807,375466118,1,1,0.0463,23.6103,23.6802,43.1281,106.897,0,1.67087474E-05,8.702472E-08,0.0001373291,-3.14221239,-3.1422143,1.90734863E-06,0.04139923,0.0413991548,7.4505806E-08,1018,0,0,0
1151,36.640275101133788,375342701,376421832,375796107,1,1,0.025,23.1705,23.2223,45.3406,107.9131,0,1.795763E-05,9.35293158E-08,0.000122070313,-4.80499363,-4.80499458,9.536743E-07,0.008122242,0.008122234,8.381903E-09,1018,0,0,0
1153,36.704394601133785,375985227,377062724,376417427,1,1,0.0323,28.8803,28.9301,43.22,107.7497,0,1.41092505E-05,7.348568E-08,0.000106811523,-8.059259,-8.059262,2.861023E-06,0.000316060963,0.000316060032,9.313226E-10,1019,0,0,0
1156,36.79767620113379,376944777,377995877,377326281,1,1,0.0182,25.4542,25.4875,38.1504,105.11,0,1.39235435E-05,7.251845E-08,0.000106811523,-0.432907552,-0.4329099,2.35438347E-06,0.39343223,0.3934317,5.364418E-07,1022,0,0,0
