unityFrame,realtimeSeconds,sourceHostTicks,sentisArrivalHostTicks,ortObservedHostTicks,rowMode,selectedRowMode,workerQueueMs,ortInferenceMs,bridgeToDoneMs,sourceToOrtObservedMs,sourceToSentisArrivalMs,ortMinusSentisObservedMs,landmarkMaeRaw,landmarkMaeNormalized,landmarkMaxAbsRaw,sentisPresenceLogit,ortPresenceLogit,presenceLogitAbsDiff,sentisPresence,ortPresence,presenceAbsDiff,nativeCompleted,nativeFailures,nativeSkipped,nativeReadyReplacements
942,29.8761936037415,307871720,308712279,308250854,1,1,0.0201,21.712,21.7489,37.9134,84.0559,0,1.54680947E-05,8.056299E-08,0.000106811523,-1.26095247,-1.26095462,2.14576721E-06,0.220809981,0.2208096,3.874302E-07,833,0,0,0
943,29.905898803741497,308189423,309009067,308486992,1,1,0.0146,22.1234,22.1556,29.7569,81.9644,0,1.48701811E-05,7.744886E-08,0.0001373291,1.61596346,1.61595976,3.695488E-06,0.8342377,0.834237158,5.364418E-07,834,0,0,0
944,29.931415403741497,308362454,309264552,308708440,1,1,0.0204,20.9898,21.0244,34.5986,90.2098,0,1.47796063E-05,7.69771162E-08,0.000122070313,5.032179,5.03218174,2.861023E-06,0.9935177,0.993517756,5.96046448E-08,835,0,0,0
945,29.960255003741498,308673083,309552648,309003993,1,1,0.015,25.8709,25.8949,33.091,87.9565,0,1.33881585E-05,6.972999E-08,0.000122070313,3.94328237,3.94328117,1.1920929E-06,0.980984151,0.9809841,5.96046448E-08,836,0,0,0
946,29.989707403741498,308831720,309847385,309261821,1,1,0.0138,23.4082,23.434,43.0101,101.5665,0,1.34701695E-05,7.01571352E-08,9.15527344E-05,7.09863567,7.09863949,3.81469727E-06,0.9991745,0.9991745,0,836,0,0,0
947,30.0144680037415,309167410,310094579,309549760,1,1,0.0205,26.5493,26.5826,38.235,92.7169,0,1.28007241E-05,6.667044E-08,8.392334E-05,14.9827185,14.9827118,6.67572E-06,0.9999997,0.9999997,0,838,0,0,0
948,30.0449653037415,309480984,310399850,309843306,1,1,0.0166,27.4373,27.4699,36.2322,91.8866,0,1.33665981E-05,6.96177E-08,9.15527344E-05,14.3142071,14.3142176,1.04904175E-05,0.9999994,0.9999994,0,839,0,0,0
950,30.0986389037415,309958344,310936824,310397104,1,1,1.9968,24.759,26.7837,43.876,97.848,0,1.38021433E-05,7.188616E-08,0.000106811523,8.74196,8.74196,0,0.99984026,0.99984026,0,840,0,0,0
951,30.121893503741497,310279575,311169487,310634820,1,1,0.0235,20.7969,20.8432,35.5245,88.9912,0,1.36916187E-05,7.131052E-08,9.15527344E-05,23.4359665,23.4359722,5.722046E-06,1,1,0,842,0,0,0
952,30.148020003741497,310602738,311430519,310934733,1,1,0.0196,24.4267,24.4597,33.1995,82.7781,0,1.35987875E-05,7.082702E-08,0.000106811523,21.646122,21.6461239,1.90734863E-06,1,1,0,843,0,0,0
954,30.1973887037415,311094990,311924124,311426644,1,1,0.0237,18.017,18.0584,33.1654,82.9134,0,1.35510354E-05,7.057831E-08,0.000106811523,16.4832916,16.4833,7.62939453E-06,0.99999994,0.99999994,0,844,0,0,0
